Date,Ticker,Open,Low,AdjClose,Volume,High,Close,Company_Name,Sector,Current_Market_Cap
2016-01-12,KOTAKBANK.NS,699.9000244140625,684.5499877929688,690.3960571289062,834020.0,,,Kotak Mahindra Bank Ltd.,Financials,4057760000000.0
2016-01-12,LT.NS,790.9000244140625,782.1669921875,704.20361328125,4095195.0,,,Larsen & Toubro Ltd.,Infrastructure,5409320000000.0
2016-01-12,M&M.NS,582.0,578.0250244140625,560.8564453125,1162522.0,,,Mahindra & Mahindra Ltd.,Automobile,4119780000000.0
2016-01-12,MARUTI.NS,4310.0,4260.0,4031.111083984375,481142.0,,,Maruti Suzuki India Ltd.,Automobile,4589960000000.0
2016-01-12,NESTLEIND.NS,5515.0,5408.14990234375,4990.45361328125,56465.0,,,Nestle India Ltd.,FMCG,2569290000000.0
2016-01-12,NTPC.NS,119.58300018310548,118.95800018310548,98.70857238769533,5331380.0,,,NTPC Ltd.,Power,3452010000000.0
2016-01-12,ONGC.NS,149.33299255371094,146.66700744628906,118.06241607666016,5543673.0,,,Oil & Natural Gas Corporation Ltd.,Energy,3383590000000.0
2016-01-12,POWERGRID.NS,143.5,142.0500030517578,118.23204040527344,3718879.0,,,Power Grid Corporation of India Ltd.,Power,2385600000000.0
2016-01-12,RELIANCE.NS,527.5,520.5499877929688,500.5677185058594,10685522.0,,,Reliance Industries Ltd.,Energy,18883200000000.0
2016-01-12,SBIN.NS,204.8500061035156,198.6000061035156,195.05096435546875,20318816.0,,,State Bank of India,Financials,9942760000000.0
2016-01-12,SUNPHARMA.NS,784.0,784.0,767.4879150390625,1787888.0,,,Sun Pharmaceutical Industries Ltd.,Pharma,3827660000000.0
2016-01-12,TATASTEEL.NS,241.08999633789065,231.6580047607422,209.72036743164065,5694492.0,,,Tata Steel Ltd.,Metals,2408690000000.0
2016-01-12,TCS.NS,1181.3499755859375,1150.800048828125,1025.35888671875,3482594.0,,,Tata Consultancy Services Ltd.,IT,11302500000000.0
2016-01-12,TECHM.NS,507.9500122070313,498.0,450.1667175292969,1836753.0,,,Tech Mahindra Ltd.,IT,1543530000000.0
2016-01-12,TITAN.NS,346.5,344.70001220703125,335.85626220703125,638269.0,,,Titan Company Ltd.,Consumer Durables,3528130000000.0
2016-01-12,ULTRACEMCO.NS,2731.14990234375,2658.300048828125,2633.91455078125,256890.0,,,UltraTech Cement Ltd.,Cement,3733780000000.0
2016-01-12,WIPRO.NS,201.18800354003903,199.1999969482422,195.5704345703125,3491084.0,,,Wipro Ltd.,IT,2481690000000.0
2016-01-13,ADANIENT.NS,44.57292175292969,42.06637573242188,42.772491455078125,14813664.0,,,Adani Enterprises Ltd.,Infrastructure,2611740000000.0
2016-01-13,ADANIPORTS.NS,238.75,222.8000030517578,224.66079711914065,4137056.0,,,Adani Ports and Special Economic Zone Ltd.,Infrastructure,3271160000000.0
2016-01-13,APOLLOHOSP.NS,1364.4000244140625,1330.800048828125,1335.980712890625,165141.0,,,Apollo Hospitals Enterprise Ltd.,Healthcare,1000810000000.0
2016-01-13,ASIANPAINT.NS,879.9500122070312,850.0499877929688,840.7354125976562,901426.0,,,Asian Paints Ltd.,Consumer Durables,2327750000000.0
2016-01-13,AXISBANK.NS,410.0,392.4500122070313,398.5169372558594,15873927.0,,,Axis Bank Ltd.,Financials,4257980000000.0
2016-01-13,BAJAJ-AUTO.NS,2355.0,2332.199951171875,2079.71875,246183.0,,,Bajaj Auto Ltd.,Automobile,2680130000000.0
2016-01-13,BAJAJFINSV.NS,1960.0,1929.949951171875,1982.18359375,52449.0,,,Bajaj Finserv Ltd.,Financials,3119270000000.0
2016-01-13,BAJFINANCE.NS,622.0,603.5050048828125,581.1950073242188,1035940.0,,,Bajaj Finance Ltd.,Financials,5780270000000.0
2016-01-13,BHARTIARTL.NS,294.7349853515625,277.33599853515625,274.5110168457031,4951126.0,,,Bharti Airtel Ltd.,Telecom,11992300000000.0
2016-01-13,CIPLA.NS,615.25,596.0999755859375,596.4647216796875,794118.0,,,Cipla Ltd.,Pharma,1069500000000.0
2016-01-13,COALINDIA.NS,318.0,313.3999938964844,210.69956970214844,1860750.0,,,Coal India Ltd.,Metals,2716220000000.0
2016-01-13,DRREDDY.NS,2935.0,2855.39990234375,2747.40283203125,375169.0,,,Dr. Reddy's Laboratories Ltd.,Pharma,1014150000000.0
2016-01-13,EICHERMOT.NS,1728.800048828125,1667.469970703125,1412.0689697265625,450700.0,,,Eicher Motors Ltd.,Automobile,1953700000000.0
2016-01-13,GRASIM.NS,553.052001953125,541.5889892578125,516.0145263671875,376951.0,,,Grasim Industries Ltd.,Cement,1912430000000.0
2016-01-13,HCLTECH.NS,407.3999938964844,402.1499938964844,365.0696716308594,3158468.0,,,HCL Technologies Ltd.,IT,4587700000000.0
2016-01-13,HDFCBANK.NS,526.0,518.5,510.3996276855469,2257574.0,,,HDFC Bank Ltd.,Financials,14299300000000.0
2016-01-13,HINDALCO.NS,76.4000015258789,74.30000305175781,74.57744598388672,8275596.0,,,Hindalco Industries Ltd.,Metals,2152250000000.0
2016-01-13,HINDUNILVR.NS,821.7999877929688,813.75,770.3248291015625,1338356.0,,,Hindustan Unilever Ltd.,FMCG,5575580000000.0
2016-01-13,ICICIBANK.NS,216.1820068359375,210.09100341796875,205.2085876464844,18215710.0,,,ICICI Bank Ltd.,Financials,9692260000000.0
2016-01-13,INFY.NS,528.5,524.0499877929688,454.88568115234375,8751294.0,,,Infosys Ltd.,IT,6638980000000.0
2016-01-13,ITC.NS,211.56700134277344,209.7669982910156,184.74017333984372,6862585.0,,,ITC Ltd.,FMCG,4036290000000.0
2016-01-13,JSWSTEEL.NS,101.9499969482422,98.02999877929688,87.54066467285156,10572110.0,,,JSW Steel Ltd.,Metals,2966610000000.0
2016-01-13,KOTAKBANK.NS,698.0499877929688,682.25,687.552734375,673206.0,,,Kotak Mahindra Bank Ltd.,Financials,4057760000000.0
2016-01-13,LT.NS,796.0,752.0670166015625,690.8263549804688,5619939.0,,,Larsen & Toubro Ltd.,Infrastructure,5409320000000.0
2016-01-13,M&M.NS,593.5499877929688,588.4500122070312,571.8419189453125,1652518.0,,,Mahindra & Mahindra Ltd.,Automobile,4119780000000.0
2016-01-13,MARUTI.NS,4298.0,4221.35009765625,4052.12158203125,431206.0,,,Maruti Suzuki India Ltd.,Automobile,4589960000000.0
2016-01-13,NESTLEIND.NS,5465.0,5400.39990234375,5046.68896484375,61874.0,,,Nestle India Ltd.,FMCG,2569290000000.0
2016-01-13,NTPC.NS,121.58300018310548,117.75,98.06248474121094,6335397.0,,,NTPC Ltd.,Power,3452010000000.0
2016-01-13,ONGC.NS,148.66700744628906,145.0330047607422,119.04888153076172,5384575.0,,,Oil & Natural Gas Corporation Ltd.,Energy,3383590000000.0
2016-01-13,POWERGRID.NS,143.14999389648438,140.10000610351562,118.35628509521484,4197388.0,,,Power Grid Corporation of India Ltd.,Power,2385600000000.0
2016-01-13,RELIANCE.NS,526.5499877929688,523.5999755859375,515.6022338867188,32825622.0,,,Reliance Industries Ltd.,Energy,18883200000000.0
2016-01-13,SBIN.NS,201.3500061035156,194.0,196.51824951171875,23788247.0,,,State Bank of India,Financials,9942760000000.0
2016-01-13,SUNPHARMA.NS,795.0,781.5,775.71630859375,3447651.0,,,Sun Pharmaceutical Industries Ltd.,Pharma,3827660000000.0
2016-01-13,TATASTEEL.NS,236.7550048828125,225.7989959716797,210.44590759277344,7853668.0,,,Tata Steel Ltd.,Metals,2408690000000.0
2016-01-13,TCS.NS,1158.5,1127.550048828125,1004.2706298828124,4746092.0,,,Tata Consultancy Services Ltd.,IT,11302500000000.0
2016-01-13,TECHM.NS,508.0,496.75,447.5494995117188,1431164.0,,,Tech Mahindra Ltd.,IT,1543530000000.0
2016-01-13,TITAN.NS,349.5,345.0,338.8091735839844,735198.0,,,Titan Company Ltd.,Consumer Durables,3528130000000.0
2016-01-13,ULTRACEMCO.NS,2695.0,2608.800048828125,2648.021240234375,442587.0,,,UltraTech Cement Ltd.,Cement,3733780000000.0
2016-01-13,WIPRO.NS,205.125,202.66900634765625,194.71533203125,1793783.0,,,Wipro Ltd.,IT,2481690000000.0
2016-01-14,ADANIENT.NS,43.01995086669922,42.14810943603516,41.158935546875,8517248.0,,,Adani Enterprises Ltd.,Infrastructure,2611740000000.0
2016-01-14,ADANIPORTS.NS,227.0,224.6999969482422,222.3185577392578,2802513.0,,,Adani Ports and Special Economic Zone Ltd.,Infrastructure,3271160000000.0
2016-01-14,APOLLOHOSP.NS,1355.4000244140625,1338.0999755859375,1347.1844482421875,114952.0,,,Apollo Hospitals Enterprise Ltd.,Healthcare,1000810000000.0
2016-01-14,ASIANPAINT.NS,863.5,851.0999755859375,860.9178466796875,2296682.0,,,Asian Paints Ltd.,Consumer Durables,2327750000000.0
2016-01-14,AXISBANK.NS,394.7999877929688,388.75,382.7408447265625,11776737.0,,,Axis Bank Ltd.,Financials,4257980000000.0
2016-01-14,BAJAJ-AUTO.NS,2349.0,2323.10009765625,2073.35546875,205015.0,,,Bajaj Auto Ltd.,Automobile,2680130000000.0
2016-01-14,BAJAJFINSV.NS,1978.0,1945.0,1943.7357177734373,25844.0,,,Bajaj Finserv Ltd.,Financials,3119270000000.0
2016-01-14,BAJFINANCE.NS,605.0,598.9450073242188,581.008544921875,557540.0,,,Bajaj Finance Ltd.,Financials,5780270000000.0
2016-01-14,BHARTIARTL.NS,281.7890014648437,275.9129943847656,274.64471435546875,3566324.0,,,Bharti Airtel Ltd.,Telecom,11992300000000.0
2016-01-14,CIPLA.NS,603.4000244140625,596.75,602.0015869140625,986574.0,,,Cipla Ltd.,Pharma,1069500000000.0
2016-01-14,COALINDIA.NS,314.1499938964844,310.6000061035156,211.5960235595703,1469470.0,,,Coal India Ltd.,Metals,2716220000000.0
2016-01-14,DRREDDY.NS,2880.0,2854.0,2770.2587890625,391322.0,,,Dr. Reddy's Laboratories Ltd.,Pharma,1014150000000.0
2016-01-14,EICHERMOT.NS,1689.0,1674.989990234375,1405.886962890625,370670.0,,,Eicher Motors Ltd.,Automobile,1953700000000.0
2016-01-14,GRASIM.NS,544.9970092773438,538.3350219726562,511.947021484375,538773.0,,,Grasim Industries Ltd.,Cement,1912430000000.0
2016-01-14,HCLTECH.NS,405.0249938964844,405.0249938964844,366.1518859863281,5081220.0,,,HCL Technologies Ltd.,IT,4587700000000.0
2016-01-14,HDFCBANK.NS,525.0750122070312,519.75,505.3926696777344,3139592.0,,,HDFC Bank Ltd.,Financials,14299300000000.0
2016-01-14,HINDALCO.NS,75.0,73.4000015258789,72.63279724121094,7864816.0,,,Hindalco Industries Ltd.,Metals,2152250000000.0
2016-01-14,HINDUNILVR.NS,829.5,818.5499877929688,765.2371826171875,1531002.0,,,Hindustan Unilever Ltd.,FMCG,5575580000000.0
2016-01-14,ICICIBANK.NS,212.90899658203125,210.7270050048828,201.9955902099609,14600781.0,,,ICICI Bank Ltd.,Financials,9692260000000.0
2016-01-14,INFY.NS,533.0,527.1749877929688,475.711181640625,30227006.0,,,Infosys Ltd.,IT,6638980000000.0
2016-01-14,ITC.NS,209.1000061035156,208.16700744628903,185.61782836914065,11491224.0,,,ITC Ltd.,FMCG,4036290000000.0
2016-01-14,JSWSTEEL.NS,98.6999969482422,97.43000030517578,87.51886749267578,7062470.0,,,JSW Steel Ltd.,Metals,2966610000000.0
2016-01-14,KOTAKBANK.NS,682.0,673.0,682.5143432617188,890445.0,,,Kotak Mahindra Bank Ltd.,Financials,4057760000000.0
2016-01-14,LT.NS,756.2670288085938,740.0670166015625,677.6273193359375,5099718.0,,,Larsen & Toubro Ltd.,Infrastructure,5409320000000.0
2016-01-14,M&M.NS,596.5499877929688,576.2999877929688,564.0120849609375,1620082.0,,,Mahindra & Mahindra Ltd.,Automobile,4119780000000.0
2016-01-14,MARUTI.NS,4239.0,4212.7001953125,4011.517822265625,402026.0,,,Maruti Suzuki India Ltd.,Automobile,4589960000000.0
2016-01-14,NESTLEIND.NS,5460.0,5432.0,5152.1875,34830.0,,,Nestle India Ltd.,FMCG,2569290000000.0
2016-01-14,NTPC.NS,119.08300018310548,116.91699981689452,97.3486785888672,2617408.0,,,NTPC Ltd.,Power,3452010000000.0
2016-01-14,ONGC.NS,147.3000030517578,144.39999389648438,119.07527160644533,6523576.0,,,Oil & Natural Gas Corporation Ltd.,Energy,3383590000000.0
2016-01-14,POWERGRID.NS,141.39999389648438,141.39999389648438,118.31487274169922,5781694.0,,,Power Grid Corporation of India Ltd.,Power,2385600000000.0
2016-01-14,RELIANCE.NS,531.9249877929688,526.5250244140625,508.3243408203125,12719826.0,,,Reliance Industries Ltd.,Energy,18883200000000.0
2016-01-14,SBIN.NS,197.0,194.3000030517578,191.7740173339844,20256636.0,,,State Bank of India,Financials,9942760000000.0
2016-01-14,SUNPHARMA.NS,789.7999877929688,785.7000122070312,771.0908813476562,3233849.0,,,Sun Pharmaceutical Industries Ltd.,Pharma,3827660000000.0
2016-01-14,TATASTEEL.NS,223.89300537109372,220.5590057373047,203.7467803955078,9325559.0,,,Tata Steel Ltd.,Metals,2408690000000.0
2016-01-14,TCS.NS,1136.5,1125.0,1004.0942993164062,2742052.0,,,Tata Consultancy Services Ltd.,IT,11302500000000.0
2016-01-14,TECHM.NS,497.0,494.0499877929688,456.0222778320313,2022474.0,,,Tech Mahindra Ltd.,IT,1543530000000.0
2016-01-14,TITAN.NS,347.0,340.0,330.8218688964844,2007294.0,,,Titan Company Ltd.,Consumer Durables,3528130000000.0
2016-01-14,ULTRACEMCO.NS,2631.0,2605.0,2591.249755859375,494491.0,,,UltraTech Cement Ltd.,Cement,3733780000000.0
2016-01-14,WIPRO.NS,204.375,201.0,194.26974487304688,2919332.0,,,Wipro Ltd.,IT,2481690000000.0
2016-01-15,ADANIENT.NS,42.72025680541992,40.2681999206543,39.36021423339844,6162841.0,,,Adani Enterprises Ltd.,Infrastructure,2611740000000.0
2016-01-15,ADANIPORTS.NS,228.5,216.5,212.99835205078125,3286291.0,,,Adani Ports and Special Economic Zone Ltd.,Infrastructure,3271160000000.0
2016-01-15,APOLLOHOSP.NS,1378.5999755859375,1359.0,1334.904296875,121314.0,,,Apollo Hospitals Enterprise Ltd.,Healthcare,1000810000000.0
2016-01-15,ASIANPAINT.NS,893.0,874.2999877929688,851.0928955078125,1301590.0,,,Asian Paints Ltd.,Consumer Durables,2327750000000.0
2016-01-15,AXISBANK.NS,392.4500122070313,369.0,366.7198181152344,13178892.0,,,Axis Bank Ltd.,Financials,4257980000000.0
2016-01-15,BAJAJ-AUTO.NS,2369.949951171875,2313.0,2037.9873046875,334940.0,,,Bajaj Auto Ltd.,Automobile,2680130000000.0
2016-01-15,BAJAJFINSV.NS,1950.050048828125,1900.0,1900.4508056640625,31407.0,,,Bajaj Finserv Ltd.,Financials,3119270000000.0
2016-01-15,BAJFINANCE.NS,603.0,588.1500244140625,571.3887329101562,415270.0,,,Bajaj Finance Ltd.,Financials,5780270000000.0
2016-01-15,BHARTIARTL.NS,286.1960144042969,278.29998779296875,272.28662109375,3506854.0,,,Bharti Airtel Ltd.,Telecom,11992300000000.0
2016-01-15,CIPLA.NS,616.0,602.3499755859375,596.9056396484375,1119442.0,,,Cipla Ltd.,Pharma,1069500000000.0
2016-01-15,COALINDIA.NS,319.8999938964844,317.20001220703125,211.5296173095703,1925285.0,,,Coal India Ltd.,Metals,2716220000000.0
2016-01-15,DRREDDY.NS,2931.199951171875,2923.449951171875,2790.12060546875,341129.0,,,Dr. Reddy's Laboratories Ltd.,Pharma,1014150000000.0
2016-01-15,EICHERMOT.NS,1701.0,1605.0999755859375,1344.05029296875,339700.0,,,Eicher Motors Ltd.,Automobile,1953700000000.0
2016-01-15,GRASIM.NS,542.5180053710938,532.7579956054688,512.6052856445312,372626.0,,,Grasim Industries Ltd.,Cement,1912430000000.0
2016-01-15,HCLTECH.NS,414.25,408.0,370.2161254882813,4571182.0,,,HCL Technologies Ltd.,IT,4587700000000.0
2016-01-15,HDFCBANK.NS,524.0,519.0499877929688,501.7337036132813,2708630.0,,,HDFC Bank Ltd.,Financials,14299300000000.0
2016-01-15,HINDALCO.NS,75.3499984741211,71.1500015258789,69.81304931640625,5206900.0,,,Hindalco Industries Ltd.,Metals,2152250000000.0
2016-01-15,HINDUNILVR.NS,827.25,776.6500244140625,743.9613037109375,3249884.0,,,Hindustan Unilever Ltd.,FMCG,5575580000000.0
2016-01-15,ICICIBANK.NS,214.1820068359375,201.59100341796875,192.3132476806641,22333902.0,,,ICICI Bank Ltd.,Financials,9692260000000.0
2016-01-15,INFY.NS,574.0,568.7750244140625,478.6083068847656,13036614.0,,,Infosys Ltd.,IT,6638980000000.0
2016-01-15,ITC.NS,210.06700134277344,208.1999969482422,183.6580810546875,7979745.0,,,ITC Ltd.,FMCG,4036290000000.0
2016-01-15,JSWSTEEL.NS,101.0999984741211,96.75,84.81510162353516,5723680.0,,,JSW Steel Ltd.,Metals,2966610000000.0
2016-01-15,KOTAKBANK.NS,679.4000244140625,671.0,674.0340576171875,1088741.0,,,Kotak Mahindra Bank Ltd.,Financials,4057760000000.0
2016-01-15,LT.NS,759.9329833984375,733.3330078125,661.6521606445312,3987867.0,,,Larsen & Toubro Ltd.,Infrastructure,5409320000000.0
2016-01-15,M&M.NS,599.0,585.0,558.6260986328125,925828.0,,,Mahindra & Mahindra Ltd.,Automobile,4119780000000.0
2016-01-15,MARUTI.NS,4265.0,4254.0,4035.21923828125,592183.0,,,Maruti Suzuki India Ltd.,Automobile,4589960000000.0
2016-01-15,NESTLEIND.NS,5600.0,5572.0498046875,5135.26416015625,27017.0,,,Nestle India Ltd.,FMCG,2569290000000.0
2016-01-15,NTPC.NS,119.91699981689452,113.04199981689452,92.75995635986328,5813482.0,,,NTPC Ltd.,Power,3452010000000.0
2016-01-15,ONGC.NS,149.60000610351562,145.1999969482422,117.0487289428711,4512582.0,,,Oil & Natural Gas Corporation Ltd.,Energy,3383590000000.0
